,id,x,y,CRI_v2.0.r1,all,MCM_v3.2,MCM_v3.1,MCM_v3.3.1,CRI_v2.0.r2,CRI_v2.0.r3,CRI_v2.0.r4,CRI_v2.0.r5,CRI_v2.2,rxns
0,C6H5C2H4O,-0.22383819351590029,0.24083754322133766,False,True,True,True,True,False,False,False,False,False,False
1,C6H5C2NO3,-0.2296737028784882,0.23869345951162502,False,True,True,True,True,False,False,False,False,False,False
2,DMCO,-0.36649435282894016,-0.47092242618957814,False,True,True,True,True,False,False,False,False,False,False
3,MMCF,-0.5451652395380444,-0.55021349926401,False,True,True,True,True,False,False,False,False,False,False
4,C5CODBCO2H,0.010197164528397584,0.36800914269501006,False,True,True,True,True,False,False,False,False,False,False
5,TM135OLO,0.061943061173402425,0.5984261241970763,False,True,True,True,True,False,False,False,False,False,False
6,C7DCCO3,-0.14133813814779317,0.02674165920949223,False,True,True,True,True,False,False,False,False,False,False
7,C7DCPAN,-0.08834368924145342,-0.057089472622183446,False,True,True,True,True,False,False,False,False,False,False
8,BIACETO,-0.07768145429783446,-0.14037678378231633,False,True,True,True,True,False,False,False,False,False,False
9,CO,-0.02972062120529695,-0.15128866930309293,True,True,True,True,True,True,True,True,True,True,False
10,BOX2MO2,0.27828909831172655,-0.15944246172271248,False,True,True,True,True,False,False,False,False,False,False
11,BOXPRONE,0.32775959127407894,-0.1056082162773816,False,True,True,True,True,False,False,False,False,False,False
12,ECARB13,0.5285677169876117,-0.7236828191621627,False,True,False,False,False,False,False,False,False,True,False
13,RE15NO3,0.5501500461246691,-0.7281391213046519,False,True,False,False,False,False,False,False,False,True,False
14,BCKBO,-0.30330161902127806,-0.48383406528125483,False,True,True,False,True,False,False,False,False,False,False
15,BCLKET,-0.2375619089165436,-0.4392075410260152,False,True,True,False,True,False,False,False,False,False,False
16,NC826O2,-0.7326544875720717,-0.5215339195679476,False,True,True,False,True,False,False,False,False,False,False
17,NC826OH,-0.7411364045217615,-0.5322708698450727,False,True,True,False,True,False,False,False,False,False,False
18,C729CO2H,-0.5531778286553981,-0.34497453371462006,False,True,True,False,True,False,False,False,False,False,False
19,C729CO3,-0.5378563313560607,-0.3395320317881799,False,True,True,False,True,False,False,False,False,False,False
20,ACCOETO2,0.47478760476065096,-0.043364885433222033,False,True,True,True,True,False,False,False,False,False,False
21,ACCOETOOH,0.45707745792905685,-0.033991588692416475,False,True,True,True,True,False,False,False,False,False,False
22,MET1OHNO2,-0.1579478474643634,0.8683290495969327,False,True,True,True,True,False,False,False,False,False,False
23,NMETOL1O,-0.16196403021762873,0.913141538534779,False,True,True,True,True,False,False,False,False,False,False
24,C113O,0.6484604427979797,0.050974563007682994,False,True,True,True,True,False,False,False,False,False,False
25,CO3C4CHO,0.5719233012645497,0.041389917025293155,False,True,True,True,True,False,False,False,False,False,False
26,HO13C3CHO,0.17774973054669752,-0.5297482413165282,False,True,True,True,True,False,False,False,False,False,False
27,HOC2H4CHO,0.10122957242116604,-0.47723780890845124,False,True,True,True,True,False,False,False,False,False,False
28,CHOCL,0.22159546713594902,0.0005011848325768842,False,True,True,True,True,False,False,False,False,False,False
29,CLOHPAN,0.07986732355890114,-0.0851219780885818,False,True,True,False,True,False,False,False,False,False,False
30,INB1NAPAN,-0.6161347781739673,0.09622142069656259,False,True,True,False,True,False,False,False,False,False,False
