,id,x,y,z,rxns,all,MCM_v3.3.1,MCM_v3.1,MCM_v3.2,CRI_v2.0.r5,CRI_v2.0.r4,CRI_v2.0.r1,CRI_v2.0.r3,CRI_v2.0.r2,CRI_v2.2
0,A2PAN,0.3134945719706661,0.2634632247202835,-0.3357462474407582,False,True,True,False,True,False,False,False,False,False,False
1,A2PANO,0.30885659812756616,0.2666483988635966,-0.3455206996973107,False,True,True,False,True,False,False,False,False,False,False
2,A2PANOO,0.3094232617972321,0.2610632738241383,-0.34295871050047666,False,True,True,False,True,False,False,False,False,False,False
3,ACBUOAOOH,-0.5809778060571689,-0.09933271368945307,0.3365164687360389,False,True,True,True,True,False,False,False,False,False,False
4,ACBUONANO3,-0.5759290125804868,-0.08877187752095672,0.3393985871312839,False,True,True,True,True,False,False,False,False,False,False
5,ACBUONAOH,-0.435722865040448,-0.2643313107221774,0.7029678843521325,False,True,True,True,True,False,False,False,False,False,False
6,ACBUONBOH,-0.3868786698849843,0.06115486128161063,0.08052443851966529,False,True,True,True,True,False,False,False,False,False,False
7,ACBUONBOOH,-0.38988489211950206,0.07197616709340271,0.09086508943310845,False,True,True,True,True,False,False,False,False,False,False
8,ACBUONEAO,-0.5774275129274472,-0.09266642699309036,0.3408057221899705,False,True,True,True,True,False,False,False,False,False,False
9,ACBUONEAO2,-0.5779116438087729,-0.09816649714145409,0.33963653390861026,False,True,True,True,True,False,False,False,False,False,False
10,ACBUONEBO,-0.3819322355089253,0.07093139490021394,0.08790795568838528,False,True,True,True,True,False,False,False,False,False,False
11,ACBUONEBO2,-0.3872553698183586,0.06990569429343063,0.08430005184181799,False,True,True,True,True,False,False,False,False,False,False
12,ACCOC3H6O,-0.4237127305673323,-0.25853442530952964,0.7052279009319582,False,True,True,True,True,False,False,False,False,False,False
13,ACCOC3H6O2,-0.4250867401162375,-0.26252279821823143,0.7074210248434591,False,True,True,True,True,False,False,False,False,False,False
14,ACCOCOC2H5,-0.3915189491132337,0.06441307740871949,0.08813252393204651,False,True,True,True,True,False,False,False,False,False,False
15,ACCOCOEOOH,-0.0005023895317071148,0.09130068219283793,0.5177994223340285,False,True,True,True,True,False,False,False,False,False,False
16,ACCOCOETO,0.0025001440865717317,0.0915398004279051,0.5236429747169604,False,True,True,True,True,False,False,False,False,False,False
17,ACCOCOETO2,0.005116018507631992,0.09642203886219369,0.5221522238228682,False,True,True,True,True,False,False,False,False,False,False
18,ACCOCOMEO,-0.20204211016513474,0.10632615481743901,0.3556969857685848,False,True,True,True,True,False,False,False,False,False,False
19,ACCOCOMEO2,-0.2024865884218947,0.10047591280558388,0.3539630322446552,False,True,True,True,True,False,False,False,False,False,False
20,ACCOCOMOOH,-0.20326304214013513,0.09739438286976965,0.34976360608818835,False,True,True,True,True,False,False,False,False,False,False
21,ACCOETO,-0.5466506211860285,-0.25220309705026134,0.6956574713137957,False,True,True,True,True,False,False,False,False,False,False
22,ACCOETO2,-0.5487485216717731,-0.2502643716460313,0.6999338240388358,False,True,True,True,True,False,False,False,False,False,False
23,ACCOETOOH,-0.5485825339410328,-0.24907491845252705,0.7063459641025274,False,True,True,True,True,False,False,False,False,False,False
24,ACCOMCOMO,-0.35509893560367656,-0.0886903300480516,0.47291444188818876,False,True,True,True,True,False,False,False,False,False,False
